,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,size,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,rain,weather,weather_description
40,19394,31.096,-89.114,2023-02-28 00:00:00,Middle_Creek,True,SAC,375.0,298.73,299.01,1009,64,291.42,99,4.16,0.0,Clouds,overcast clouds
41,19395,31.616,-110.572,2023-03-05 00:00:00,LONGVIEW,True,SWC,553.0,290.75,288.93,1015,14,264.07,0,8.23,0.0,Clear,clear sky
42,19396,39.681,-74.367,2023-03-07 00:00:00,Governors_Branch,True,EACC,418.0,278.9,276.88,1012,62,272.31,20,2.57,0.0,Clouds,few clouds
43,19397,36.65,-92.868,2023-03-03 00:00:00,Prong_Creek,True,EACC,361.0,282.28,280.2,1004,80,279.02,100,3.75,0.25,Rain,light rain
44,19398,38.03,-103.187,2023-03-05 00:00:00,County_Road_DD,True,RMC,501.0,282.47,278.88,1010,37,269.06,13,8.22,0.0,Clouds,few clouds
45,19400,34.927,-78.748,2023-03-08 00:00:00,Sophie,True,SAC,316.0,292.9,291.48,1016,21,270.34,0,8.23,0.0,Clear,clear sky
46,19402,34.301,-87.374,2023-03-06 00:00:00,BK_Cranal_Road,True,SAC,940.0,292.86,292.14,1019,48,281.55,0,1.65,0.0,Clear,clear sky
47,19405,35.094,-79.869,2023-03-16 00:00:00,Range,False,SAC,150.0,283.82,281.8,1023,33,268.78,0,1.57,0.0,Clear,clear sky
48,19409,31.083,-89.633,2023-02-24 00:00:00,Sun_Oil_Rd,True,SAC,544.0,297.54,298.25,1019,85,294.85,51,3.33,0.1,Rain,light rain
49,19410,29.647,-94.262,2023-03-15 00:00:00,Strait_Line,True,SAC,493.0,289.17,288.19,1024,52,279.33,99,6.35,0.0,Clouds,overcast clouds
50,19411,30.38,-84.371,2023-03-09 00:00:00,Triple_3,True,SAC,311.0,295.95,295.33,1020,40,281.66,20,2.57,0.0,Clouds,few clouds
51,19412,34.199,-103.213,2023-03-05 00:00:00,Electrical_Line,True,SWC,504.0,290.05,288.4,1010,23,269.3,0,3.82,0.0,Clear,clear sky
52,19414,35.591,-94.768,2023-03-15 00:00:00,Dry_Creek,True,SAC,205.0,283.42,281.49,1025,38,270.13,0,2.57,0.0,Clear,clear sky
53,19415,36.723,-96.184,2023-03-15 00:00:00,Young,True,SAC,529.0,284.93,283.08,1024,35,270.34,0,4.12,0.0,Clear,clear sky
54,19416,29.087,-81.254,2023-03-16 00:00:00,Daytona_Rd,True,SAC,116.0,285.21,284.33,1023,71,280.12,0,2.57,0.0,Clear,clear sky
55,19417,36.622,-96.139,2023-03-12 00:00:00,Scorpion,True,SAC,174.0,285.86,285.33,1006,82,282.87,100,4.12,0.0,Clouds,overcast clouds
56,19418,29.115,-81.717,2023-03-05 00:00:00,Bombing_Range_3,True,SAC,2755.0,297.15,297.43,1015,70,291.34,53,3.2,0.0,Clouds,broken clouds
57,19419,25.968,-80.991,2023-03-10 00:00:00,Raccoon,True,SAC,554.0,296.54,296.42,1019,57,287.55,100,4.5,0.0,Clouds,overcast clouds
58,19422,35.072,-95.4,2023-03-20 00:00:00,Ford_Mtn._Fire,True,SAC,325.0,281.84,281.84,1029,30,266.12,0,0.52,0.0,Clear,clear sky
59,19423,34.78,-94.956,2023-03-19 00:00:00,East_Creek_Fire,True,SAC,303.0,278.58,275.65,1029,33,264.65,0,3.81,0.0,Clear,clear sky
60,19424,28.96,-81.118,2023-03-17 00:00:00,LEFFLER_LANDING,True,SAC,180.0,291.05,290.57,1020,64,284.15,0,3.09,0.0,Clear,clear sky
61,19425,30.94,-86.945,2023-03-19 00:00:00,CAMP_LOWERY_RD,True,SAC,400.0,284.13,282.82,1020,59,276.44,91,3.98,0.0,Clouds,overcast clouds
62,19426,32.112,-85.218,2023-03-07 00:00:00,HOLY_COW_FIRE,True,SAC,363.0,296.81,296.77,1017,59,288.33,0,0.0,0.0,Clear,clear sky
63,19427,36.405,-75.917,2023-03-16 00:00:00,NeverSail,True,SAC,500.0,281.81,281.81,1019,29,265.71,0,0.0,0.0,Clear,clear sky
64,19430,37.631,-83.335,2023-03-21 00:00:00,Cutchin_Road,True,SAC,110.0,279.67,279.67,1026,19,259.33,0,0.0,0.0,Clear,clear sky
65,19431,37.941,-96.431,2023-03-19 00:00:00,230th_and_H,True,RMC,300.0,273.29,267.97,1032,40,262.58,80,5.82,0.0,Clouds,broken clouds
66,19432,39.107,-96.538,2023-03-20 00:00:00,Pillsbury,True,RMC,300.0,280.73,277.08,1023,25,263.18,0,6.69,0.0,Clear,clear sky
67,19433,38.097,-102.447,2023-03-22 00:00:00,Manvel,True,RMC,1897.0,290.25,288.56,1004,21,268.38,94,4.3,0.0,Clouds,overcast clouds
68,19434,32.753,-114.527,2023-03-23 00:00:00,River,False,SWC,330.0,294.0,292.85,1016,27,274.33,20,5.14,0.0,Clouds,few clouds
69,19440,35.234,-76.596,2023-03-23 00:00:00,Jones_Island_Club_Road,False,SAC,112.0,286.99,286.36,1027,74,282.44,91,2.05,0.0,Clouds,overcast clouds
70,19441,27.004,-80.306,2023-03-23 00:00:00,Hungryland_(43),False,SAC,800.0,296.34,296.65,1024,74,291.45,34,3.76,0.0,Clouds,scattered clouds
71,19442,27.774,-81.32,2023-03-30 00:00:00,RIGHT_GATE,True,SAC,1000.0,295.95,296.09,1019,69,289.97,73,3.56,0.0,Clouds,broken clouds
72,19443,33.126,-89.417,2023-03-23 00:00:00,Attala_-_4432_County_Road_5006,True,SAC,645.0,297.66,297.68,1020,58,288.86,57,2.82,0.0,Clouds,broken clouds
73,19444,29.323,-82.027,2023-03-04 00:00:00,Gooskie,True,SAC,607.0,298.52,298.81,1009,65,291.47,8,5.61,0.0,Clear,clear sky
74,19445,35.413,-96.144,2023-03-19 00:00:00,BEAVER,True,SAC,603.0,279.04,275.54,1030,30,263.93,0,5.13,0.0,Clear,clear sky
75,19446,35.493,-102.138,2023-03-29 00:00:00,Chuckwagon,False,SAC,349.0,285.44,283.3,1023,22,265.32,8,5.16,0.0,Clear,clear sky
76,19447,38.041,-82.894,2023-03-28 00:00:00,Buffalo_Branch_Road,True,SAC,200.0,288.54,287.54,1017,54,279.29,0,4.21,0.0,Clear,clear sky
77,19448,32.868,-91.974,2023-03-28 00:00:00,Forgotten,True,SAC,156.0,294.93,294.65,1017,57,286.04,0,2.06,0.0,Clear,clear sky
78,19449,30.925,-93.463,2023-03-23 00:00:00,Lower_Loftin,True,SAC,129.6,297.03,297.51,1019,78,292.96,75,5.14,0.0,Clouds,broken clouds
79,19450,37.527,-83.042,2023-03-27 00:00:00,Evanston,True,SAC,124.0,291.75,290.71,1013,40,277.9,0,2.83,0.0,Clear,clear sky
80,19451,29.187,-81.227,2023-03-27 00:00:00,PINE_WOOD,True,SAC,111.0,301.01,302.61,1016,62,293.06,40,3.09,0.0,Other,other
81,19452,37.904,-83.03,2023-03-29 00:00:00,Upper_Sand_Lick_Road_-_Morgan_County,True,SAC,103.0,283.47,281.81,1022,48,272.97,63,4.21,0.0,Clouds,broken clouds
82,19453,37.315,-82.73,2023-03-27 00:00:00,Frozen_Fork,True,SAC,100.0,291.42,290.29,1013,38,276.88,0,1.99,0.0,Clear,clear sky
83,19454,34.163,-88.455,2023-03-26 00:00:00,Green_and_Deer_Trail_Road,True,SAC,100.0,296.29,296.1,1010,55,286.76,0,1.98,0.0,Clear,clear sky
84,19455,31.122,-89.11,2023-03-20 00:00:00,Toms_Camp,True,SAC,2572.0,280.75,278.35,1028,42,269.18,0,3.72,0.0,Clear,clear sky
85,19456,31.155,-89.153,2023-03-23 00:00:00,Lane_6,True,SAC,653.0,295.19,294.91,1022,56,286.02,0,3.6,0.0,Clear,clear sky
86,19493,26.114,-80.843,2023-04-06 00:00:00,MILE_MARKER_48,False,SAC,1500.0,300.47,301.82,1019,62,292.55,100,5.42,0.0,Clouds,overcast clouds
87,19494,35.541,-98.811,2023-04-04 00:00:00,Route_66,False,SAC,1584.0,303.07,301.23,998,10,268.75,0,9.77,0.0,Clear,clear sky
88,19495,36.693,-96.005,2023-04-04 00:00:00,Gap_Road,False,SAC,4416.0,302.18,300.56,999,16,273.84,0,3.6,0.0,Clear,clear sky
89,19496,35.748,-97.528,2023-04-03 00:00:00,Simpson,False,SAC,3392.0,296.33,295.62,1003,35,280.04,0,5.14,0.0,Clear,clear sky
90,19497,36.998,-83.352,2023-04-04 00:00:00,Elk_Road_3,True,SAC,130.0,290.21,289.22,1014,48,279.13,100,2.57,0.0,Clouds,overcast clouds
91,19498,35.662,-94.487,2023-04-02 00:00:00,Middle_Point_Fire,False,SAC,370.0,289.09,287.63,1020,34,273.26,4,1.98,0.0,Clear,clear sky
92,19499,36.801,-96.003,2023-04-01 00:00:00,BAR_DEW,True,SAC,990.0,295.31,293.92,1005,13,266.46,100,5.66,0.0,Clouds,overcast clouds
93,19500,36.52,-96.53,2023-03-28 00:00:00,NORTH_GOAD,True,SAC,1806.0,286.44,284.87,1020,40,273.14,0,1.75,0.0,Clear,clear sky
94,19501,31.834,-105.912,2023-04-05 00:00:00,Loma_Desert,True,SAC,1946.0,293.02,291.38,1002,12,263.93,0,13.26,0.0,Clear,clear sky
95,19502,34.014,-102.719,2023-04-05 00:00:00,Jenny_Slipper,True,SAC,947.0,294.77,293.27,995,11,264.17,0,13.69,0.0,Clear,clear sky
96,19503,34.933,-88.724,2023-04-02 00:00:00,Hwy_72_and_Co_Rd_608,False,SAC,113.0,291.79,290.55,1018,32,274.78,0,5.14,0.0,Clear,clear sky
97,19504,36.787,-95.99,2023-04-04 00:00:00,Virginia,True,SAC,1472.0,302.32,300.66,999,16,273.95,0,3.6,0.0,Clear,clear sky
98,19505,36.947,-95.899,2023-03-31 00:00:00,Cotton_Creek_Fire,False,SAC,428.0,289.76,289.67,1007,84,287.05,100,7.6,0.0,Clouds,overcast clouds
99,19506,35.997,-84.963,2023-04-01 00:00:00,Pine_Grove_Road,False,SAC,150.0,291.01,290.68,1012,70,285.47,100,6.26,0.0,Clouds,overcast clouds
100,19507,30.541,-86.759,2023-04-04 00:00:00,Center_Line/Left,True,SAC,704.0,295.94,296.62,1013,90,294.21,40,4.63,0.0,Clouds,scattered clouds
101,19508,36.31,-97.47,2023-04-01 00:00:00,East_Garfield_County,False,SAC,2500.0,296.12,294.86,1005,15,268.7,0,6.38,0.0,Clear,clear sky
102,19509,35.58,-97.497,2023-04-01 00:00:00,Hefner,False,SAC,708.0,295.16,293.73,1007,12,265.43,0,7.2,0.0,Clear,clear sky
103,19510,33.073,-89.804,2023-03-29 00:00:00,11650_Attala_Rd._4101,True,SAC,382.0,289.9,288.81,1023,45,277.92,11,4.3,0.0,Clouds,few clouds
104,19511,31.681,-90.652,2023-04-02 00:00:00,3696_Caseyville_Rd.,True,SAC,113.0,297.77,297.31,1018,39,282.91,93,3.03,0.0,Clouds,overcast clouds
105,19512,31.738,-89.899,2023-03-30 00:00:00,Old_Hebron_Road,True,SAC,130.0,290.32,289.45,1022,52,280.39,0,1.09,0.0,Clear,clear sky
106,19513,35.022,-85.984,2023-04-01 00:00:00,Sinking_Cove_Road,True,SAC,105.0,292.72,292.4,1015,64,285.73,0,5.66,0.61,Rain,light rain
107,19514,35.94,-96.586,2023-03-31 00:00:00,MUSHROOM,True,SAC,188.0,289.77,289.94,1008,94,288.8,100,6.17,0.0,Clouds,overcast clouds
108,19515,35.964,-96.544,2023-03-31 00:00:00,SLOPPY_JOE,True,SAC,124.0,289.66,289.72,1007,90,288.02,100,6.74,0.0,Clouds,overcast clouds
109,19516,35.271,-100.392,2023-04-01 00:00:00,Red_Fork,True,SAC,1033.0,294.04,292.42,1008,9,261.41,0,7.42,0.0,Clear,clear sky
110,19517,36.355,-96.284,2023-03-23 00:00:00,BOAR_CREEK,False,SAC,1706.0,297.3,297.36,1008,61,289.31,100,5.25,0.0,Clouds,overcast clouds
111,19518,36.661,-96.786,2023-03-29 00:00:00,KEELER,False,SAC,1408.0,285.0,283.21,1027,37,271.06,70,1.55,0.0,Clouds,broken clouds
112,19520,33.368,-104.182,2023-04-05 00:00:00,CARPENTER,True,SWC,382.0,294.04,292.47,998,11,263.66,0,13.84,0.0,Clear,clear sky
113,19521,32.054,-110.082,2023-03-29 00:00:00,Texas_Summit,True,SWC,455.0,295.51,294.4,1011,23,273.39,0,4.21,0.0,Clear,clear sky
114,19524,39.483,-96.623,2023-04-04 00:00:00,Shannon_Creek,True,RMC,1800.0,290.09,289.38,1001,59,282.03,7,4.82,0.0,Clear,clear sky
115,19525,39.363,-96.094,2023-04-04 00:00:00,Ranch_Road,True,RMC,508.0,290.33,289.7,1001,61,282.75,2,4.73,0.0,Clear,clear sky
116,19526,37.824,-96.942,2023-04-01 00:00:00,Parallel,True,RMC,2300.0,290.82,289.32,1004,26,271.34,0,6.69,0.0,Clear,clear sky
117,19527,39.092,-104.119,2023-03-30 00:00:00,125,True,RMC,851.0,279.12,275.35,1010,41,267.58,78,5.82,0.0,Clouds,broken clouds
118,19528,36.627,-96.127,2023-04-01 00:00:00,HWY_123,True,SAC,18485.0,295.26,293.81,1005,11,264.51,100,5.66,0.0,Clouds,overcast clouds
119,19529,36.944,-96.598,2023-04-03 00:00:00,COWLEY,True,SAC,9377.0,299.3,299.3,1002,46,286.78,0,5.66,0.0,Clear,clear sky
120,19530,36.672,-96.688,2023-04-01 00:00:00,CHIEF,True,SAC,4371.0,295.7,294.27,1005,10,263.73,0,5.74,0.0,Clear,clear sky
121,19531,36.495,-96.42,2023-04-01 00:00:00,HOMINY_JAIL,True,SAC,978.0,295.7,294.43,1005,16,269.16,0,5.24,0.0,Clear,clear sky
122,19532,36.488,-96.498,2023-04-01 00:00:00,BENNET_PENS,True,SAC,1357.0,295.21,293.89,1005,16,268.8,0,5.24,0.0,Clear,clear sky
123,19533,36.903,-96.119,2023-04-01 00:00:00,HICKEY,True,SAC,4310.0,295.36,293.92,1005,11,264.58,100,5.66,0.0,Clouds,overcast clouds
124,19534,36.307,-96.205,2023-04-01 00:00:00,ZINK,True,SAC,12498.0,295.28,293.84,1005,11,264.52,0,5.11,0.0,Clear,clear sky
125,19535,36.142,-98.537,2023-04-04 00:00:00,600_Rd,True,SAC,699.0,305.51,303.43,995,3,256.79,0,7.47,0.0,Clear,clear sky
126,19536,35.743,-76.377,2023-03-24 00:00:00,Last_Resort,True,SAC,5280.0,294.01,293.09,1017,36,278.4,93,6.09,0.0,Clouds,overcast clouds
127,19537,36.503,-96.253,2023-04-01 00:00:00,NORTH_DRUM,True,SAC,8330.0,295.56,294.17,1005,12,265.71,0,5.62,0.0,Clear,clear sky
128,19538,26.18,-81.176,2023-04-04 00:00:00,Cypress_Camp_Trail,True,SAC,9749.0,302.18,304.39,1017,61,293.9,22,2.07,0.0,Clouds,few clouds
129,19539,36.415,-96.176,2023-04-01 00:00:00,GOAD,True,SAC,2005.0,295.48,294.21,1005,17,269.71,0,5.11,0.0,Clear,clear sky
130,19540,36.656,-96.308,2023-04-01 00:00:00,MOORE,True,SAC,790.0,295.59,294.2,1005,12,265.73,0,5.62,0.0,Clear,clear sky
131,19541,36.662,-96.431,2023-04-01 00:00:00,TIMBER_HILL,True,SAC,8115.0,295.37,293.96,1005,12,265.58,0,5.62,0.0,Clear,clear sky
132,19542,35.098,-96.579,2023-03-30 00:00:00,BLACKOAK,True,SAC,244.0,291.31,290.38,1018,46,279.52,42,4.39,0.0,Clouds,scattered clouds
133,19543,35.354,-101.987,2023-04-05 00:00:00,Bent_Willow,True,SAC,8118.0,293.67,292.06,994,11,263.4,2,10.87,0.0,Clear,clear sky
134,19544,37.04,-83.474,2023-04-06 00:00:00,RED_-_Army_Trail,True,SAC,226.0,297.22,297.12,1018,55,287.63,100,4.46,0.0,Clouds,overcast clouds
135,19545,29.169,-81.212,2023-03-26 00:00:00,DOUBLE_GATE,True,SAC,1200.0,299.99,301.52,1016,67,293.35,75,1.54,0.0,Clouds,broken clouds
136,19547,38.87,-105.38,2023-04-02 00:00:00,403,True,RMC,1518.0,281.96,280.05,1010,12,256.06,0,3.31,0.0,Clear,clear sky
137,19559,37.126,-82.089,2023-04-11 00:00:00,Jakes_Fork_Fire,True,SAC,243.0,291.73,290.84,1026,46,279.9,5,1.49,0.0,Clear,clear sky
138,19560,36.593,-96.171,2023-04-10 00:00:00,COOPER,True,SAC,681.0,295.16,294.46,1021,40,280.95,72,1.83,0.0,Clouds,broken clouds
139,19561,36.596,-96.609,2023-04-08 00:00:00,SPADE,True,SAC,9175.0,292.63,291.08,1023,17,267.65,0,2.38,0.0,Clear,clear sky
140,19562,34.961,-95.032,2023-04-08 00:00:00,Red_Oak_Peak_Fire,False,SAC,1200.0,288.96,287.77,1023,45,277.06,100,2.38,0.0,Clouds,overcast clouds
141,19563,35.235,-101.591,2023-04-08 00:00:00,Zanzibar,True,SAC,353.0,290.06,288.12,1021,12,261.84,0,6.69,0.0,Clear,clear sky
142,19564,37.938,-77.101,2023-04-07 00:00:00,Root_Swamp_Fire,True,SAC,133.0,296.55,297.17,1021,85,293.88,100,1.17,0.14,Rain,light rain
143,19565,35.981,-92.813,2023-04-10 00:00:00,Gladiator,True,SAC,125.0,290.37,289.98,1024,70,284.86,69,2.75,0.0,Clouds,broken clouds
144,19569,40.829,-95.876,2023-04-11 00:00:00,Waconda_Beaver_Lake_Cmplx,True,RMC,697.0,295.2,294.82,1022,52,284.9,1,2.8,0.0,Clear,clear sky
145,19570,41.847,-99.728,2023-04-11 00:00:00,Del_Porto,True,RMC,6500.0,295.5,294.5,1020,27,275.61,0,2.53,0.0,Clear,clear sky
146,19571,44.268,-97.546,2023-04-12 00:00:00,Matthews,True,RMC,360.0,299.3,299.3,1005,31,280.86,0,8.14,0.0,Clear,clear sky
147,19572,38.827,-96.815,2023-04-07 00:00:00,2600,True,RMC,600.0,288.67,286.9,1028,24,268.76,0,2.09,0.0,Clear,clear sky
148,19573,39.309,-96.608,2023-04-07 00:00:00,Wildflower_Road,True,RMC,611.0,287.13,285.24,1028,25,268.08,100,2.57,0.0,Other,other
149,19579,36.858,-96.253,2023-04-11 00:00:00,WOLF_CREEK,False,SAC,3600.0,291.83,291.71,1022,75,287.31,70,3.29,1.8,Rain,moderate rain
150,19580,36.527,-98.647,2023-04-08 00:00:00,Keller,True,SAC,623.0,293.6,291.91,1021,8,259.81,17,3.6,0.0,Clouds,few clouds
151,19581,34.553,-95.036,2023-04-12 00:00:00,East_Signal_Mountain,False,SAC,175.0,294.83,294.1,1022,40,280.66,0,2.39,0.0,Clear,clear sky
152,19582,36.123,-96.77,2023-04-07 00:00:00,McElroy_18,True,SAC,105.0,288.28,286.4,1027,21,266.91,0,4.12,0.0,Clear,clear sky
153,19583,36.039,-94.771,2023-04-07 00:00:00,Big_Hill,True,SAC,250.0,286.65,285.13,1027,41,273.67,100,2.74,0.0,Clouds,overcast clouds
154,19584,36.007,-94.671,2023-04-08 00:00:00,Muzzle_Loader_Club,False,SAC,560.0,290.05,288.74,1023,36,274.9,100,2.07,0.0,Clouds,overcast clouds
155,19585,36.873,-83.009,2023-04-13 00:00:00,Holmes_Mill,False,SAC,753.0,293.24,292.45,1017,44,280.62,0,1.74,0.0,Clear,clear sky
156,19586,37.781,-82.361,2023-04-13 00:00:00,Long_Branch_Rd_-_Martin_County,False,SAC,210.0,295.59,295.01,1016,43,282.41,0,1.63,0.0,Clear,clear sky
157,19587,35.706,-94.894,2023-04-08 00:00:00,Elk_Creek,False,SAC,170.0,290.8,289.61,1023,38,276.32,100,1.78,0.0,Clouds,overcast clouds
158,19588,34.761,-95.265,2023-04-11 00:00:00,Henderson_Ridge,True,SAC,208.0,295.13,294.77,1023,53,285.12,21,2.48,0.0,Clouds,few clouds
159,19589,31.435,-111.201,2023-04-09 00:00:00,TINAJA,False,SWC,328.0,296.95,295.86,1012,18,271.45,0,3.84,0.0,Clear,clear sky
160,19590,31.409,-110.108,2023-04-05 00:00:00,Williams,False,SWC,1320.0,286.96,284.68,1003,11,258.69,0,1.79,0.0,Clear,clear sky
161,19591,42.793,-100.963,2023-04-11 00:00:00,McCann,False,RMC,7040.0,296.66,295.64,1017,22,273.74,29,2.7,0.0,Clouds,scattered clouds
162,19593,39.99,-74.426,2023-04-11 00:00:00,Jimmys_Water_Hole,False,EACC,3859.0,285.89,284.42,1027,46,274.57,0,4.12,0.0,Clear,clear sky
163,19594,41.039,-74.428,2023-04-13 00:00:00,Kanouse,False,EACC,972.0,295.32,294.56,1009,37,279.96,0,2.18,0.0,Clear,clear sky
164,19595,41.351,-79.066,2023-04-13 00:00:00,River_Road,False,EACC,447.0,295.32,294.69,1013,42,281.82,0,3.14,0.0,Clear,clear sky
165,19596,42.516,-86.086,2023-04-12 00:00:00,Bravo,False,EACC,303.0,287.43,286.74,1018,70,282.04,98,4.68,0.0,Clouds,overcast clouds
166,19597,39.423,-76.845,2023-04-04 00:00:00,Soldiers,False,EACC,321.0,289.17,288.34,1015,58,280.92,59,1.79,0.0,Clouds,broken clouds
